0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-138.24,23.04,299.52,-345.6,345.6,-230.4,-2.9373e-13,1.1895e-14,-875.52,1382.4,-622.08,414.72,-184.32,-161.28,92.16,-69.12,-1.7829e-13,-23.04,-138.24,184.32,1.1107e-12,-5.121e-13,-115.2,345.6
5.76,-14.4,-83.52,158.4,-187.2,172.8,2.4386e-13,-1.1961e-14,875.52,-1664.6,840.96,-584.64,313.92,276.48,-167.04,135.36,-2.88,46.08,305.28,-460.8,-2.8431e-12,1.3671e-12,316.8,-1008
0.48,1.04,6.32,-22.8,33.6,-40.4,2.4,2.4,-287.92,660.72,-379.8,271.8,-176.44,-156.2,102.08,-86.64,5.4,-29.24,-223.44,382.48,-1.2,-1.2,-291.4,977.4
0.6,0.6,0.48,1.6,-1.4,3.6,0.1,0.1,32.02,-85.58,57.97,-41.03,33.33,29.69,-20.36,18.84,-1.56,6.6,55.05,-104.55,1.85,1.85,90.4,-314.4
