0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
115.2,2.1849e-14,345.6,-460.8,23.04,92.16,46.08,-1.7627e-12,-92.16,368.64,-483.84,-69.12,115.2,345.6,-691.2,852.48,-322.56,-253.44,46.08,230.4,-69.12,-69.12,69.12,92.16
-14.4,-1.3389e-14,-86.4,216,-25.92,-69.12,-34.56,5.76,97.92,-420.48,645.12,74.88,-201.6,-576,1238.4,-1656,694.08,547.2,-126.72,-564.48,184.32,184.32,-195.84,-262.08
-0.8,-1.2,5.4,-31,8.48,17.36,8.8,-2.88,-33.44,160.16,-282.36,-21.72,116.2,318.6,-738,1068.3,-496.36,-392.44,112.48,458.72,-164.76,-164.76,183.48,246.92
0.6,0.6,0.45,1.85,-0.25,-0.85,-0.15,0.97,4.33,-19.67,41.38,1.78,-21.1,-57.5,147.25,-227.95,118.85,94.37,-31.6,-122.8,50.1,50.1,-56.16,-76.4
